No.,d,g_y,d_pixel,
1,2.0,320,412,
3,2.3,319,456,
4,2.2,321,426,
5,2.0,320,413,
6,2.2,320,419,
7,2.2,321,439,
8,2.1,320,436,
9,2.2,321,448,
10,2.1,321,450,
11,2.2,320,437,
12,2.1,320,430,
13,2.2,321,424,
14,1.8,318,424,
15,2.3,318,457,
16,2.3,320,447,
17,2.2,319,438,
18,2.4,320,474,
19,2.2,320,478,
20,2.2,320,448,
21,2.3,324,460,
22,2.4,320,469,
23,2.2,320,449,
24,2.2,318,432,
25,2.2,320,444,
26,2.2,321,424,
27,2.1,320,422,
28,2.1,320,434,
29,2.2,319,444,
30,2.4,321,452,
31,2.2,320,436,
32,2.4,320,544,
33,2.2,320,537,
34,2.2,320,436,
35,2.2,321,450,
36,2.4,319,467,
37,2.2,319,420,
39,2.5,320,479,
40,2.3,319,455,
41,2.4,320,458,
42,2.2,320,427,
43,2.3,320,450,
44,2.2,319,433,
45,2.2,320,429,
46,2.3,320,448,
47,2.1,319,423,
48,2.1,320,429,
49,2.3,318,450,
50,2.3,321,457,
51,2.1,319,437,
52,2.2,320,440,
53,2.1,321,425,
54,2.2,319,429,
55,2.2,320,442,
56,2.2,322,438,
57,2.2,320,441,
58,2.3,320,456,
59,2.1,320,415,
60,2.2,318,422,
61,2.1,320,416,
62,2.2,320,428,
63,2.2,320,461,
64,2.2,320,443,
65,2.1,319,408,
66,2.2,320,457,
67,2.3,320,437,
68,2.3,320,444,
69,2.1,320,421,
70,2.1,314,430,
71,2.2,319,428,
72,2.2,320,436,
73,2.2,321,432,
74,2.2,320,432,
75,2.2,320,444,
76,2.2,319,438,
77,2.3,321,452,
78,2.1,319,418,
79,2.2,319,452,
80,2.2,317,427,
81,2.2,316,428,
82,2.3,321,447,
83,2.1,319,413,
84,2.2,320,427,
85,2.2,320,448,
86,2.2,320,440,
87,2.2,320,438,
88,2.1,320,422,
89,2.1,320,421,
90,2.2,320,431,
91,2.2,320,431,
92,2.1,320,425,
93,1.9,320,415,
94,2.0,320,409,
95,2.0,320,419,
96,2.1,320,434,
97,2.0,320,414,
98,2.0,320,403,
99,2.1,320,416,
100,2.1,319,438,
101,2.1,319,422,
102,2.1,321,406,
103,2.1,321,419,
104,2.0,320,418,
105,2.0,321,418,
106,2.1,320,421,
107,2.1,319,426,
108,2.2,320,439,
109,2.2,320,427,
110,2.2,319,441,
111,2.2,320,438,
112,2.3,321,452,
113,2.2,319,451,
114,2.2,318,451,
115,2.0,320,417,
116,2.2,319,432,
117,2.2,321,443,
118,2.2,320,428,
119,2.2,321,441,
120,2.2,320,443,
121,2.2,321,436,
122,2.1,321,429,
123,2.2,320,442,
124,2.2,320,430,
125,2.2,320,439,
126,2.2,320,434,
127,2.2,319,436,
128,2.0,319,397,
132,2.2,320,448,
133,2.2,320,447,
134,2.2,320,439,
135,2.3,320,448,
136,2.2,320,433,
137,2.2,320,427,
138,2.0,320,412,
139,2.2,320,442,
140,2.1,320,414,
141,2.1,320,436,
142,2.2,320,442,
143,2.0,320,408,
144,2.2,320,444,
145,2.1,320,411,
